datetime,open,rate
2019-11-26,1.2986,-1.187
2019-11-27,1.2987,0.0077
2019-11-28,1.3012,0.1925
2019-11-29,1.2988,-0.1844
2019-12-02,1.2991,0.0231
2019-12-03,1.3062,0.5465
2019-12-04,1.3048,-0.1072
2019-12-05,1.3226,1.3642
2019-12-06,1.3338,0.8468
2019-12-09,1.3337,-0.0075
2019-12-10,1.3478,1.0572
2019-12-11,1.3435,-0.319
2019-12-12,1.34,-0.2605
2019-12-13,1.3634,1.7463
2019-12-16,1.3896,1.9217
2019-12-17,1.4107,1.5184
2019-12-18,1.4084,-0.163
2019-12-19,1.407,-0.0994
2019-12-20,1.4029,-0.2914
2019-12-23,1.3767,-1.8676
2019-12-24,1.3872,0.7627
2019-12-25,1.3878,0.0433
2019-12-26,1.4068,1.3691
2019-12-27,1.4037,-0.2204
2019-12-30,1.4226,1.3464
2019-12-31,1.4231,0.0351
2020-01-02,1.4482,1.7638
2020-01-03,1.4411,-0.4903
2020-01-06,1.4472,0.4233
2020-01-07,1.4755,1.9555
2020-01-08,1.4541,-1.4504
2020-01-09,1.4747,1.4167
2020-01-10,1.4721,-0.1763
2020-01-13,1.4866,0.985
2020-01-14,1.4813,-0.3565
2020-01-15,1.4748,-0.4388
2020-01-16,1.4707,-0.278
2020-01-17,1.4681,-0.1768
2020-01-20,1.4905,1.5258
2020-01-21,1.4614,-1.9524
2020-01-22,1.4773,1.088
2020-01-23,1.4284,-3.3101
2020-02-03,1.3309,-6.8258
2020-02-04,1.3515,1.5478
2020-02-05,1.3759,1.8054
2020-02-06,1.41,2.4784
2020-02-07,1.4149,0.3475
2020-02-10,1.4367,1.5407
2020-02-11,1.4434,0.4663
2020-02-12,1.479,2.4664
2020-02-13,1.4852,0.4192
2020-02-14,1.4814,-0.2559
2020-02-17,1.5292,3.2267
2020-02-18,1.5541,1.6283
2020-02-19,1.5366,-1.1261
2020-02-20,1.5713,2.2582
2020-02-21,1.5926,1.3556
2020-02-24,1.6078,0.9544
2020-02-25,1.6129,0.3172
2020-02-26,1.5637,-3.0503999999999998
2020-02-27,1.5846,1.3366
2020-02-28,1.5043,-5.0675
2020-03-02,1.5776,4.8727
2020-03-03,1.5892,0.7353
2020-03-04,1.6194,1.9003
2020-03-05,1.6426,1.4326
2020-03-06,1.622,-1.2541
2020-03-09,1.5687,-3.2861
2020-03-10,1.5897,1.3387
2020-03-11,1.5646,-1.5789
2020-03-12,1.5426,-1.4061
2020-03-13,1.5347,-0.5121
2020-03-16,1.4912,-2.8344
2020-03-17,1.5164,1.6899
2020-03-18,1.5009,-1.0222
2020-03-19,1.5037,0.1866
2020-03-20,1.5263,1.503
2020-03-23,1.4754,-3.3349
2020-03-24,1.4925,1.159
2020-03-25,1.5149,1.5008
2020-03-26,1.5009,-0.9242
2020-03-27,1.5048,0.2598
2020-03-30,1.4713,-2.2262
2020-03-31,1.4771,0.3942
2020-04-01,1.4746,-0.1693
2020-04-02,1.4869,0.8341
2020-04-03,1.4725,-0.9685
2020-04-07,1.5282,3.7827
2020-04-08,1.5219,-0.4122
2020-04-09,1.5324,0.6899
2020-04-10,1.5045,-1.8207
2020-04-13,1.504,-0.0332
2020-04-14,1.5297,1.7088
2020-04-15,1.5227,-0.4576
2020-04-16,1.5364,0.8997
2020-04-17,1.5317,-0.3059
2020-04-20,1.5628,2.0304
2020-04-21,1.5593,-0.224
2020-04-22,1.5709,0.7439
