datetime,open
2017-11-08,2.296
2017-11-09,2.31
2017-11-10,2.328
2017-11-13,2.344
2017-11-14,2.328
2017-11-15,2.31
2017-11-16,2.325
2017-11-17,2.259
2017-11-20,2.283
2017-11-21,2.291
2017-11-22,2.279
2017-11-23,2.227
2017-11-24,2.224
2017-11-27,2.196
2017-11-28,2.235
2017-11-29,2.254
2017-11-30,2.237
2017-12-01,2.254
2017-12-04,2.248
2017-12-05,2.199
2017-12-06,2.207
2017-12-07,2.191
2017-12-08,2.215
2017-12-11,2.245
2017-12-12,2.225
2017-12-13,2.237
2017-12-14,2.238
2017-12-15,2.215
2017-12-18,2.205
2017-12-19,2.225
2017-12-20,2.208
2017-12-21,2.221
2017-12-22,2.22
2017-12-25,2.2
2017-12-26,2.216
2017-12-27,2.198
2017-12-28,2.209
2017-12-29,2.23
2017-12-31,2.23
2018-01-02,2.255
2018-01-03,2.273
2018-01-04,2.285
2018-01-05,2.293
2018-01-08,2.312
2018-01-09,2.309
2018-01-10,2.303
2018-01-11,2.305
2018-01-12,2.297
2018-01-15,2.257
2018-01-16,2.279
2018-01-17,2.255
2018-01-18,2.265
2018-01-19,2.257
2018-01-22,2.284
2018-01-23,2.29
2018-01-24,2.295
2018-01-25,2.293
2018-01-26,2.297
2018-01-29,2.282
2018-01-30,2.288
2018-01-31,2.257
2018-02-01,2.193
2018-02-02,2.207
2018-02-05,2.206
2018-02-06,2.099
2018-02-07,2.095
2018-02-08,2.11
2018-02-09,2.036
2018-02-12,2.078
2018-02-13,2.092
2018-02-14,2.098
2018-02-22,2.148
2018-02-23,2.16
2018-02-26,2.205
2018-02-27,2.193
2018-02-28,2.197
2018-03-01,2.218
2018-03-02,2.206
2018-03-05,2.204
2018-03-06,2.238
2018-03-07,2.213
2018-03-08,2.229
2018-03-09,2.252
2018-03-12,2.284
2018-03-13,2.268
2018-03-14,2.249
2018-03-15,2.237
2018-03-16,2.223
2018-03-19,2.213
2018-03-20,2.215
2018-03-21,2.199
2018-03-22,2.186
2018-03-23,2.062
2018-03-26,2.097
2018-03-27,2.14
2018-03-28,2.114
2018-03-29,2.142
2018-03-30,2.167
2018-04-02,2.168
2018-04-03,2.151
2018-04-04,2.135
2018-04-09,2.133
2018-04-10,2.156
2018-04-11,2.169
2018-04-12,2.161
2018-04-13,2.152
2018-04-16,2.141
2018-04-17,2.092
2018-04-18,2.118
2018-04-19,2.137
2018-04-20,2.099
2018-04-23,2.084
2018-04-24,2.133
2018-04-25,2.141
2018-04-26,2.109
2018-04-27,2.114
2018-05-02,2.122
2018-05-03,2.143
2018-05-04,2.15
2018-05-07,2.191
2018-05-08,2.197
2018-05-09,2.194
2018-05-10,2.2
2018-05-11,2.177
2018-05-14,2.179
2018-05-15,2.203
2018-05-16,2.196
2018-05-17,2.186
2018-05-18,2.194
2018-05-21,2.221
2018-05-22,2.232
2018-05-23,2.203
2018-05-24,2.193
2018-05-25,2.175
2018-05-28,2.167
2018-05-29,2.141
2018-05-30,2.092
2018-05-31,2.121
2018-06-01,2.094
2018-06-04,2.094
2018-06-05,2.126
2018-06-06,2.129
2018-06-07,2.116
2018-06-08,2.095
2018-06-11,2.081
2018-06-12,2.109
2018-06-13,2.079
2018-06-14,2.075
2018-06-15,2.039
2018-06-19,1.943
2018-06-20,1.972
2018-06-21,1.941
2018-06-22,1.972
2018-06-25,1.962
2018-06-26,1.97
2018-06-27,1.947
2018-06-28,1.929
2018-06-29,1.99
2018-06-30,1.99
2018-07-02,1.957
2018-07-03,1.978
2018-07-04,1.947
2018-07-05,1.894
2018-07-06,1.896
2018-07-09,1.943
2018-07-10,1.959
2018-07-11,1.923
2018-07-12,1.977
2018-07-13,1.996
2018-07-16,1.994
2018-07-17,1.992
2018-07-18,1.974
2018-07-19,1.957
2018-07-20,1.978
2018-07-23,1.993
2018-07-24,2.026
2018-07-25,2.029
2018-07-26,2.008
2018-07-27,2.001
2018-07-30,1.984
2018-07-31,1.985
2018-08-01,1.949
2018-08-02,1.915
2018-08-03,1.897
2018-08-06,1.855
2018-08-07,1.902
2018-08-08,1.872
2018-08-09,1.919
2018-08-10,1.927
2018-08-13,1.938
2018-08-14,1.929
2018-08-15,1.893
2018-08-16,1.875
2018-08-17,1.846
2018-08-20,1.857
2018-08-21,1.88
2018-08-22,1.862
2018-08-23,1.868
2018-08-24,1.862
2018-08-27,1.907
2018-08-28,1.913
2018-08-29,1.901
2018-08-30,1.874
2018-08-31,1.856
2018-09-03,1.863
2018-09-04,1.878
2018-09-05,1.846
2018-09-06,1.836
2018-09-07,1.837
2018-09-10,1.805
2018-09-11,1.8
2018-09-12,1.793
2018-09-13,1.806
2018-09-14,1.788
2018-09-17,1.762
2018-09-18,1.796
